"","ES_score","Gene"
"PA2G4",30.5185564115707,"PA2G4"
"KIF5B",35.5585072985082,"KIF5B"
"POLR1C",9.08734977399117,"POLR1C"
"HDAC3",11.8589121949846,"HDAC3"
"CAMTA1",23.5366377437874,"CAMTA1"
"HCFC1",12.798501286652,"HCFC1"
"PHC3",30.46708861102,"PHC3"
"RPL4",70.1063116635135,"RPL4"
"GOLGA8A",21.2604256328471,"GOLGA8A"
"SMAD2",17.6844978363229,"SMAD2"
"DRAP1",27.6281558506024,"DRAP1"
"COX8A",39.7795253150085,"COX8A"
"CHD9",24.9333421288323,"CHD9"
"R3HDM2",34.3188599858969,"R3HDM2"
"DAZAP2",65.0325757570098,"DAZAP2"
"PCGF3",13.7761647769646,"PCGF3"
"PSMD13",21.7699892291064,"PSMD13"
"MSL1",13.0690723639839,"MSL1"
"HDAC2",18.8342468899492,"HDAC2"
"RPL12",77.0166417552111,"RPL12"
"ANKRD28",21.8526728202877,"ANKRD28"
"PHB2",23.1457960141936,"PHB2"
"VAMP2",37.5326672976419,"VAMP2"
"PET100",40.8790869569861,"PET100"
"HSBP1",23.8257778983499,"HSBP1"
"CEP95",12.6450664694611,"CEP95"
"AK2",19.2899671987033,"AK2"
"REV3L",21.7928786840901,"REV3L"
"ZNF207",40.3460692764981,"ZNF207"
"UFL1",17.3676390184118,"UFL1"
"RNH1",21.0042059456905,"RNH1"
"AP2S1",26.4232296809174,"AP2S1"
"DCUN1D1",18.4956382363563,"DCUN1D1"
"MED29",14.6389820664676,"MED29"
"TAF11",12.7257221718774,"TAF11"
"CDK13",20.3084148073462,"CDK13"
"ELAVL1",14.2624477608567,"ELAVL1"
"PSME4",23.1177377174105,"PSME4"
"DNAJA2",20.6037970868198,"DNAJA2"
"CDC42",57.6765428423835,"CDC42"
"WDR1",31.4367077433148,"WDR1"
"NFATC3",11.5941003305595,"NFATC3"
"CLASP1",12.8938178234769,"CLASP1"
"THOC1",10.5481340092743,"THOC1"
"RBM22",17.2535973500182,"RBM22"
"SRRT",14.2203665011062,"SRRT"
"FKBP1A",39.4680020316306,"FKBP1A"
"TNRC6A",23.5890364651135,"TNRC6A"
"APEX1",23.3336518754838,"APEX1"
"PRELID3B",23.8846515883796,"PRELID3B"
"USP11",15.9932236073992,"USP11"
"DNAJC3",32.9049142882342,"DNAJC3"
"ARHGEF7",14.0704435410699,"ARHGEF7"
"MRPS31",10.0735056389783,"MRPS31"
"NFAT5",20.8837551575142,"NFAT5"
"CTCF",15.1361175826295,"CTCF"
"UBR5",21.7036340938686,"UBR5"
"OAZ1",74.0516701175134,"OAZ1"
"PSMA2",29.7979096922417,"PSMA2"
"LUC7L3",52.5906550282773,"LUC7L3"
"SUPT6H",16.555990934771,"SUPT6H"
"EIF4G2",56.1493578651685,"EIF4G2"
"SUDS3",14.7492930669173,"SUDS3"
"NCOA7",21.889477599767,"NCOA7"
"SSR3",28.5633211103737,"SSR3"
"ATF2",12.3404099679724,"ATF2"
"SDHB",23.6864610863993,"SDHB"
"PRDX1",43.4029901295438,"PRDX1"
"SYF2",33.9693888853817,"SYF2"
"MED28",19.3726087273949,"MED28"
"AFTPH",18.0631569382844,"AFTPH"
"KDM3B",12.2834659279186,"KDM3B"
"ARL1",10.700188088419,"ARL1"
"RBBP6",28.4931132661421,"RBBP6"
"ZNF644",20.2602969860631,"ZNF644"
"SMU1",24.976435945564,"SMU1"
"DEK",36.7128578451299,"DEK"
"RPL23",85.9650770052563,"RPL23"
"DNAJC8",32.4825722233377,"DNAJC8"
"HP1BP3",40.584438892156,"HP1BP3"
"TXNDC17",17.9996467630815,"TXNDC17"
"PHF20L1",24.5234234569396,"PHF20L1"
"RPL36",75.944801853223,"RPL36"
"UBA1",28.8273814186195,"UBA1"
"PPIL4",19.4093228442452,"PPIL4"
"CAP1",30.2907839448603,"CAP1"
"RLIM",15.7953434952678,"RLIM"
"CAPN7",19.0382591664674,"CAPN7"
"PDHA1",11.4319533408306,"PDHA1"
"RAN",47.4205188709023,"RAN"
"GRSF1",14.1389074901383,"GRSF1"
"TPT1",81.585174134014,"TPT1"
"DPF2",13.9553680190488,"DPF2"
"MRPS36",12.8368274373699,"MRPS36"
"PRPF38B",44.4281092925443,"PRPF38B"
"CDC73",16.4840322484031,"CDC73"
"CCNH",35.9457117884103,"CCNH"
"BTF3L4",17.2062894442725,"BTF3L4"
"PHF21A",13.9544223203084,"PHF21A"
"BLOC1S1",28.2528804701594,"BLOC1S1"
"AHI1",18.6287482975228,"AHI1"
"REPS1",10.1609533781786,"REPS1"
"DHX9",21.332826599584,"DHX9"
"MED4",20.3260890080134,"MED4"
"YME1L1",44.0006288489251,"YME1L1"
"ATP6V1G1",48.6299251244453,"ATP6V1G1"
"MRPL50",12.4938651295972,"MRPL50"
"SLTM",39.8373684113869,"SLTM"
"ACTR1A",10.7632802969705,"ACTR1A"
"PPA2",17.4252942205966,"PPA2"
"KANSL2",11.906538452293,"KANSL2"
"GTF2A2",21.5966065230384,"GTF2A2"
"NPEPPS",28.485235531157,"NPEPPS"
"SOD1",48.4635292119333,"SOD1"
"TMCO1",26.8582704724187,"TMCO1"
"COP1",10.6475818845993,"COP1"
"PFDN2",24.9729690147307,"PFDN2"
"JTB",41.4584282564916,"JTB"
"RAB5A",19.4443821996554,"RAB5A"
"EAF1",13.4179215409348,"EAF1"
"ATG3",24.1505646637107,"ATG3"
"RPL37",79.845305467191,"RPL37"
"RARS2",15.0117540502883,"RARS2"
"MDH2",28.4463394712759,"MDH2"
"LUC7L2",19.7959128179871,"LUC7L2"
"FOXO1",19.5354801824478,"FOXO1"
"RILPL2",16.8016195578859,"RILPL2"
"PAN3",29.901268147387,"PAN3"
"AHCTF1",12.8348571988986,"AHCTF1"
"MSI2",16.2392875613017,"MSI2"
"OXA1L",24.8812831937044,"OXA1L"
"EIF5B",36.0722303953287,"EIF5B"
"NDUFS2",23.8207959842893,"NDUFS2"
"AMFR",15.613057883789,"AMFR"
"GPBP1L1",19.5849663977093,"GPBP1L1"
"UBE2J2",10.6771016333586,"UBE2J2"
"CMPK1",27.5647613591586,"CMPK1"
"IWS1",15.6802756356325,"IWS1"
"HIPK1",25.9225087363891,"HIPK1"
"ARPC2",65.9676535458011,"ARPC2"
"U2SURP",34.0568825861755,"U2SURP"
"RYK",9.99033324481512,"RYK"
"BRI3",25.4284426478883,"BRI3"
