"","ES_score"
"Fadd",17.5870791983895
"Fbl",43.2015061445662
"Fbxw7",19.8603070287168
"Fdft1",26.9624500333754
"Fdx1",38.35429932921
"Fech",15.8997754049733
"Fkbp1a",75.713522789197
"Fkbp4",64.8636539852409
"Fkbp8",71.5475022199214
"Flii",44.2635550427375
"Flnb",33.2377796820718
"Fmr1",38.62774118119
"Foxj3",18.977313608436
"Foxo1",47.8460469167566
"Foxp1",66.2947754905648
"Fth1",92.5265468966414
"Furin",41.479716200238
"Fus",62.1552723468332
"G6pdx",31.3290626372854
"Gabarapl2",75.0104457427003
"Gabpa",23.3261043603302
"Gadd45a",23.0259861209255
"Gars",44.8480504221174
"Gart",26.4069805111554
"Gba",35.4980802004891
"Gba2",11.9981488628373
"Gdi2",82.1604086950873
"Gfpt1",28.6220682549365
"Ggps1",30.523241095664
"Glb1",26.2624351929489
"Gmcl1",21.5112999973639
"Gna11",54.0437916747869
"Gna12",24.1469814902116
"Gna13",40.2849729432035
"Gnai2",41.5322501767259
"Gnpat",36.5849007781
"Gnpnat1",26.0114743542651
"Gosr2",33.4011725665891
"Gpd2",29.6086952758222
"Gphn",12.6717199558454
"Gps1",49.105149868759
"Grb2",63.7252475791259
"Gsk3b",81.4945968002436
"Gtf2b",40.2639508825487
"Gusb",34.1233421765609
"H3f3b",94.4120971123944
"Hadha",57.2460814485616
"Hdac1",58.7604632045191
"Hdac4",28.3544498524535
"Hdac5",28.0963191361595
"Hectd1",54.7412831227482
"Hexb",56.3979891733559
"Hgs",38.7772052682396
"Hif1a",32.2222488590935
"Hipk1",45.4573859073565
"Hmgcl",39.2811404068514
"Hmgcr",32.5498685674761
"Hnrnpc",86.6508686284101
"Hsd17b4",42.365448711059
"Hsf2",28.0408131094654
"Hsp90ab1",97.6968643757327
"Hspa5",87.5974313831292
"Htra2",17.2647990860766
"Hyou1",18.0616975725923
"Icmt",13.5788744542082
"Id2",48.5144425072537
"Igf2r",38.1076675043834
"Ikbkb",26.9507231232192
"Il6st",35.5425275083638
"Ilf3",46.6538948201346
"Impdh2",51.4250013334972
"Ing1",33.9553732428114
"Ing4",25.504666226898
"Ino80b",22.0781118116311
"Inpp5a",29.0189633513443
"Insig1",43.1939941002446
"Insig2",31.5127008922123
"Ipmk",23.1298312948166
"Ippk",13.3969205946641
"Itgav",17.416774485489
"Itgb1",33.9240488242645
"Ivd",31.9341579811867
"Jak1",75.1101847448354
"Jmjd6",33.5021537692068
"Jund",84.5037035610959
"Kars",59.7982490545711
"Kdm5c",36.1821470937774
"Keap1",37.9500688892054
"Kif1b",45.7564621641636
"Kif5b",77.5716797584063
"Kifap3",25.1399929614274
"Klhdc2",38.3470938183478
"Kpnb1",42.1179248731762
"Kras",55.9270261558785
"Lamp1",89.2359620955181
"Lamp2",72.5892608379884
"Lats1",26.5744738538498
"Ldb1",35.8465961365719
"Lias",30.8324495532014
"Limk2",26.8782797370274
"Lims1",50.9564318084362
"Lin7c",32.800690274972
"Lmbrd1",45.3421674182908
"Lmo4",52.7193883732633
"Lrp6",34.493394445852
"Lsm4",60.612335203607
"M6pr",63.5053743619271
"Macf1",66.5380580422293
"Maea",48.7209405718327
"Mafg",35.2682632652412
"Maml1",16.6883546734166
"Manba",15.8431408649579
"Map2k1",47.9542208833635
"Map2k4",40.7149839797263
"Map2k7",24.8986561421097
"Map4k4",49.8477704830848
"Mapk1",61.1269775700573
"Mapk14",34.9004029665934
"Mapk8ip3",20.5155203212277
"Mapk9",27.9600876610525
"Mapkap1",22.0560088416647
"Mapkapk2",43.1517220679733
"Mark2",50.2180892769699
"Mat2a",70.1463749900933
"Max",45.8620449714177
"Mbd2",38.4281843639533
"Mbd3",45.5386732812678
"Mbtps1",33.1337132208796
"Mcl1",75.6235767088956
"Mcrs1",38.0741092359567
"Mdm2",40.5317120193303
"Mdm4",23.1252456647563
"Mecp2",32.1394983119439
"Med1",57.2316250053764
"Med11",25.4293038520228
"Med21",37.0400014915032
"Med24",21.4050968422313
"Med25",36.5763579291724
"Med28",67.4139389726189
"Mef2a",29.998053921887
"Memo1",27.0611666429344
"Men1",24.7356278658434
"Mest",10.8439415404232
"Metap2",69.8796870314035
"Mfn1",20.5880945992597
"Mfn2",18.3005563632329
"Mgat2",50.4761352994517
"Mib1",16.6074983355073
"Mkks",27.5086605780673
"Mnat1",27.1519859998903
"Mocs2",35.8203959420472
"Mogs",28.7154338212872
"Mpi",14.02975736106
"Mrpl51",49.3924242571438
"Mrps25",29.3901470779377
"Mrps5",32.1847992834013
"Msh2",22.1823924251034
"Msh6",18.5048431152293
"Msra",26.9544784801724
"Mtch2",59.3213873817721
"Mtmr2",43.7775989234711
"Mybbp1a",37.2755160360755
